,fraction or g/ml ,"V/V, W/V, Dry (undiluted or 100%)",,,M/F,(in days)(average value in case range is reported),(in hours)(average in case range is reported),,,(original)(spikes/second),(sfr subtracted or not),(response of solvent or control subtracted in case sfr not subtracted or reported),
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,69,yes,69,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,56,yes,56,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,139,yes,139,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,47,yes,47,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,47,yes,47,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,2,yes,2,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr56,Carey2010,1,yes,1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,40,yes,40,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,148,yes,148,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,180,yes,180,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,-4,yes,-4,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,158,yes,158,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,117,yes,117,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,115,yes,115,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,140,yes,140,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,73,yes,73,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,141,yes,141,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,147,yes,147,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,163,yes,163,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,53,yes,53,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,9,yes,9,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,43,yes,43,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,76,yes,76,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,47,yes,47,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,53,yes,53,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,36,yes,36,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,73,yes,73,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,29,yes,29,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,67,yes,67,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,21,yes,21,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,11,yes,11,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,5,yes,5,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,-1,yes,-1,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr56,Carey2010,-1,yes,-1,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr56,Carey2010,20,yes,20,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr56,Carey2010,-1,yes,-1,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr56,Carey2010,-3,yes,-3,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr56,Carey2010,20,yes,20,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr57,Carey2010,-4,yes,-4,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,-8,yes,-8,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,4,yes,4,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,1,yes,1,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,-3,yes,-3,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,-2,yes,-2,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,4,yes,4,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,1,yes,1,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,-2,yes,-2,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,6,yes,6,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,2,yes,2,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,4,yes,4,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,5,yes,5,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr57,Carey2010,31,yes,31,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr57,Carey2010,34,yes,34,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,7,yes,7,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,7,yes,7,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,-3,yes,-3,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,22,yes,22,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr57,Carey2010,2,yes,2,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,13,yes,13,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,7,yes,7,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,175,yes,175,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,53,yes,53,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,45,yes,45,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,94,yes,94,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,90,yes,90,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,42,yes,42,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,7,yes,7,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,35,yes,35,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,27,yes,27,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,85,yes,85,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,13,yes,13,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,16,yes,16,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,5,yes,5,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,118,yes,118,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,10,yes,10,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,60,yes,60,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,155,yes,155,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,53,yes,53,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,74,yes,74,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,117,yes,117,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,-2,yes,-2,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,42,yes,42,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,117,yes,117,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,46,yes,46,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,135,yes,135,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,88,yes,88,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,71,yes,71,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,2,yes,2,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,67,yes,67,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,56,yes,56,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,75,yes,75,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,45,yes,45,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,27,yes,27,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,91,yes,91,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,24,yes,24,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,5,yes,5,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,61,yes,61,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,71,yes,71,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,61,yes,61,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,17,yes,17,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,4,yes,4,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,182,yes,182,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,131,yes,131,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,197,yes,197,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,109,yes,109,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,147,yes,147,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,127,yes,127,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,158,yes,158,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,76,yes,76,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,99,yes,99,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,0,yes,0,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr57,Carey2010,9,yes,9,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,165,yes,165,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,202,yes,202,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,181,yes,181,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,2,yes,2,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,251,yes,251,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,149,yes,149,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,128,yes,128,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,127,yes,127,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,71,yes,71,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,195,yes,195,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,194,yes,194,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,199,yes,199,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,102,yes,102,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,52,yes,52,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,137,yes,137,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,202,yes,202,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,84,yes,84,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,191,yes,191,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,94,yes,94,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,150,yes,150,
Methyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,144,yes,144,
Ethyl butyrate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,165,yes,165,
ethyl hexanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,83,yes,83,
methyl octanoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,32,yes,32,
heptane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,14,yes,14,
1-chlorododecane,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,2,yes,2,
5α-androst-16-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr57,Carey2010,1,yes,1,
5α-androsten-3α-ol,0.01,V/V,ethanol,AGam,F,5,NA,AgOr57,Carey2010,35,yes,35,
dihydrogen oxide,0.01,V/V,NA,AGam,F,5,NA,AgOr57,Carey2010,-4,yes,-4,
paraffin oil,0.01,V/V,NA,AGam,F,5,NA,AgOr57,Carey2010,-1,yes,-1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr57,Carey2010,45,yes,45,
ammonia,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
putrescine,0.01,W/V,water,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
cadaverine,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,4,yes,4,
g-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
d-decalactone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
Acetic Acid,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,1,yes,1,
propanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
butanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
pentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,7,yes,7,
Hexanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
heptanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,3,yes,3,
octanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-7,yes,-7,
nonanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
decanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-3,yes,-3,
dodecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
tridecanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,3,yes,3,
Myristic Acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,1,yes,1,
hexadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr59,Carey2010,2,yes,2,
octadecanoic acid,0.01,V/V,ethanol,AGam,F,5,NA,AgOr59,Carey2010,5,yes,5,
L-(+)-Lactic acid,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
2-oxopropanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
isobutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
2-oxobutanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
3-Methylbutanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
2-oxopentanoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
2-oxohexanoic acid,0.01,V/V,water,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
3-Methyl-2-hexenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,6,yes,6,
7-octenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
cis-9-octadecenoic acid,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
dimethyl sulfide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
(-)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,1,yes,1,
(+)-carvone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,5,yes,5,
(-)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
(+)-fenchone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
citronellal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,9,yes,9,
geraniol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
Linalool Oxide,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,10,yes,10,
geranyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
hexanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
heptanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,19,yes,19,
octanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-10,yes,-10,
nonanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-3,yes,-3,
decanal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
(E)-2-hexenal,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,1,yes,1,
acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
2-butanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-3,yes,-3,
2-heptanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-9,yes,-9,
3-octanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-9,yes,-9,
2-nonanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
6-methyl-5-hepten-2-one,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
geranyl acetone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
"2,3-butanedione",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-8,yes,-8,
cyclohexanone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
phenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
benzaldehyde,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
acetophenone,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-9,yes,-9,
methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
2-phenoxy ethanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
benzyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-9,yes,-9,
phenethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,3,yes,3,
2-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
3-methylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
p-cresol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
2-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-7,yes,-7,
4-ethylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
2-propylphenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,4,yes,4,
methyl salicylate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
methyl-2-methyl benzoate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
2-ethyl-toluene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
3-methyl indole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
2-acetylthiophene,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-10,yes,-10,
4-methylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-10,yes,-10,
2-acetylthiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
2-ethoxythiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-13,yes,-13,
2-iso-butyl-thiazole,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-2,yes,-2,
"4,5-dimethylthiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
"2,4,5-trimethyl thiazole",0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
2-acetylpyridine,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
methanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,1,yes,1,
ethanol,0.01,V/V,NA,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,2,yes,2,
1-pentanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,2,yes,2,
Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-10,yes,-10,
1-dodecanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,2,yes,2,
3-methyl-1-butanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-6,yes,-6,
2-ethyl-Hexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,19,yes,19,
1-Hexen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,27,yes,27,
1-hepten-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,55,yes,55,
1-octen-3-ol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,52,yes,52,
Z2-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,8,yes,8,
Z3-hexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,3,yes,3,
4-methylcyclohexanol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-5,yes,-5,
3-methyl-2-cyclohexenol,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,2,yes,2,
ethyl formate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
ethyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-10,yes,-10,
propyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
pentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-4,yes,-4,
isobutyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,0,yes,0,
isopentyl acetate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-10,yes,-10,
Ethyl propionate,0.01,V/V,paraffin oil,AGam,F,5,NA,AgOr59,Carey2010,-1,yes,-1,
